X-axis,Y-axis
4.882.812.390,-195.312.495.634
9.765.624.782,-195.312.495.634
146.484.371.726,-9.765.624.782
146.484.371.726,-9.765.624.782
146.484.371.726,-9.765.624.782
26.958.007.365.465.100,-9.765.624.782
1.460.546.851.158.140,-195.312.495.634
36.033.689.975.738.500,-9.765.624.782
6.730.761.528.015.130,0.0
10.779.833.793.640.100,195.312.495.634
15.602.294.206.619.200,7.519.531.063.735.480
2.068.530.321.121.210,15.332.030.598.074.100
28.123.388.290.405.200,21.875.000.093.132.200
3.589.487.314.224.240,6.953.124.888.241.290
4.591.040.134.429.930,4.466.796.666.383.740
5.428.105.354.309.080,710.742.175.579.071
6.267.509.460.449.210,10.390.624.403.953.500
7.263.319.969.177.240,1.469.140.648.841.850
827.176.284.790.039,19.651.366.770.267.400
9.267.060.279.846.190,24.635.741.114.616.300
10.389.052.391.052.200,3.035.058.379.173.270
11.372.587.203.979.400,3.868.066.370.487.210
123.276.948.928.833,4.845.214.784.145.350
13.142.617.225.646.900,5.655.273.199.081.420
1.401.708.984.375,6.622.949.242.591.850
1.487.142.562.866.210,7.617.577.910.423.270
15.646.410.942.077.600,8.533.984.422.683.710
16.605.327.606.201.100,9.870.507.717.132.560
17.646.488.189.697.200,11.772.558.689.117.400
1.855.390.167.236.320,13.447.558.879.852.200
19.544.780.731.201.100,15.383.788.347.244.200
204.953.556.060.791,17.664.941.549.301.100
2.138.176.727.294.920,20.310.351.848.602.200
22.229.936.599.731.400,23.395.214.080.810.500
230.303.897.857.666,26.956.443.786.621.000
2.378.459.930.419.920,3.088.388.681.411.740
2.450.571.632.385.250,3.469.970.703.125
25.141.332.626.342.700,3.831.122.875.213.620
2.592.536.163.330.070,4.303.559.303.283.690
26.740.257.263.183.500,4.862.113.952.636.710
2.752.878.761.291.500,5.479.291.915.893.550
283.116.455.078.125,6.177.714.824.676.510
28.970.237.731.933.500,6.855.185.508.728.020
29.567.338.943.481.400,7.566.611.289.978.020
30.132.143.020.629.800,8.268.359.184.265.130
30.700.214.385.986.300,9.019.902.229.309.080
3.113.045.883.178.710,9.631.709.098.815.910
3.165.828.514.099.120,10.403.115.272.521.900
32.286.170.959.472.600,11.384.521.484.375
32.800.086.975.097.600,12.297.646.522.521.900
3.324.550.247.192.380,13.205.859.184.265.100
336.374.397.277.832,1.410.086.441.040.030
3.400.815.200.805.660,14.988.436.698.913.500
3.428.445.816.040.030,15.803.217.887.878.400
34.511.722.564.697.200,1.667.046.356.201.170
346.644.287.109.375,17.442.655.563.354.400
3.481.875.228.881.830,18.243.436.813.354.400
34.932.289.123.535.100,18.960.750.579.833.900
3.500.600.051.879.880,19.871.532.440.185.500
3.503.579.330.444.330,2.065.675.163.269.040
3.506.739.807.128.900,21.388.994.216.918.900
35.083.675.384.521.400,22.172.191.619.873.000
35.051.029.205.322.200,2.308.378.791.809.080
349.671.516.418.457,2.395.064.926.147.460
